vacancy name,vacancy link,salary,suite_info,city
Программист Python,https://hh.ru/vacancy/38760054?query=Python,"{'minimum': 60000, 'maximum': 100000, 'currency': 'руб.'}", INNOVA GROUP,Москва
Python разработчик,https://hh.ru/vacancy/38728444?query=Python,нет сведений о заработной плате,ООО ВижнЛабс (VisionLabs),Москва
Python Developer,https://hh.ru/vacancy/38672884?query=Python,"{'minimum': 2000, 'maximum': 4000, 'currency': 'USD'}", MaxinAI,Москва
DevOps / Python инженер,https://hh.ru/vacancy/38937401?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Разработчик Python (backend),https://hh.ru/vacancy/38271890?query=Python,нет сведений о заработной плате," Ренессанс Кредит, Москва",Москва
Разработчик Python 2.7 (3.Х),https://hh.ru/vacancy/38540725?query=Python,нет сведений о заработной плате, СБСОФТ,"Москва, Владыкино и еще 3 "
Разработчик (Python),https://hh.ru/vacancy/38901120?query=Python,нет сведений о заработной плате, Центральный банк Российской Федерации,Москва
Web-разработчик fullstack (python+javascript),https://hh.ru/vacancy/38602747?query=Python,"{'minimum': 50000, 'maximum': 80000, 'currency': 'руб.'}",ООО Научно-технический центр СтарКо,Москва
Специалист по автоматизированному тестированию (Python),https://hh.ru/vacancy/38433553?query=Python,нет сведений о заработной плате,ООО Hawk House Integration,Москва
Back-end Python/Django разработчик,https://hh.ru/vacancy/38629821?query=Python,"{'minimum': 130000, 'maximum': 200000, 'currency': 'руб.'}",ООО Mind&Machine,"Москва, Бауманская"
Разработчик Python,https://hh.ru/vacancy/38063535?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
"Python разработчик (jun+, middle)",https://hh.ru/vacancy/38088133?query=Python,нет сведений о заработной плате, AT Consulting,Москва
Python разработчик,https://hh.ru/vacancy/38777282?query=Python,"{'minimum': 100000, 'maximum': 130000, 'currency': 'руб.'}",ООО Строительный Двор,"Москва, Выставочная"
Python разработчик,https://hh.ru/vacancy/37579037?query=Python,нет сведений о заработной плате, Яндекс,Москва
Python разработчик,https://hh.ru/vacancy/37765040?query=Python,нет сведений о заработной плате, STC,Москва
Python разработчик,https://hh.ru/vacancy/37486302?query=Python,"{'minimum': 130000, 'maximum': 220000, 'currency': 'руб.'}",АО Семейный доктор,"Москва, Баррикадная и еще 1 "
Data Analyst (Python),https://hh.ru/vacancy/38686799?query=Python,нет сведений о заработной плате, Альфа-Банк,"Москва, Технопарк"
QA Automation Engineer (Python),https://hh.ru/vacancy/37180431?query=Python,нет сведений о заработной плате, Почта Банк,Москва
Python разработчик (Backend),https://hh.ru/vacancy/38901681?query=Python,нет сведений о заработной плате, Selecty,Москва
Automation QA (Python),https://hh.ru/vacancy/29323728?query=Python,нет сведений о заработной плате, МойОфис,"Москва, Пушкинская и еще 2 "
Стажер разработчик Python,https://hh.ru/vacancy/38587522?query=Python,"{'minimum': 20000, 'maximum': 50000, 'currency': 'руб.'}",ООО Аналитические программные решения,"Москва, Марьина Роща"
Python разработчик (SberDevices),https://hh.ru/vacancy/37685908?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Программист C++ (Computer Vision),https://hh.ru/vacancy/38365417?query=Python,нет сведений о заработной плате," НАМИ, ФГУП",Москва
Программист Python,https://hh.ru/vacancy/38614624?query=Python,"{'minimum': 210001, 'maximum': 299999, 'currency': 'руб.'}", HR Development,Москва
Разработчик Python,https://hh.ru/vacancy/38503080?query=Python,"{'minimum': 100000, 'maximum': 220000, 'currency': 'руб.'}",АО ФинТех,"Москва, Полянка"
Junior Python developer,https://hh.ru/vacancy/38595676?query=Python,нет сведений о заработной плате, Связной,Москва
Программист Python,https://hh.ru/vacancy/38743736?query=Python,"{'minimum': 70000, 'maximum': 140000, 'currency': 'руб.'}", Odlar Yurdu,Москва
"Python разработчик, SberDevices",https://hh.ru/vacancy/36795277?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Python разработчик SberDevices,https://hh.ru/vacancy/36286016?query=Python,нет сведений о заработной плате, Сбербанк для начинающих,Москва
Senior Python разработчик,https://hh.ru/vacancy/38846825?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Python-разработчик (удаленно),https://hh.ru/vacancy/38674184?query=Python,нет сведений о заработной плате, Noveo,Москва
Python developer,https://hh.ru/vacancy/38308822?query=Python,нет сведений о заработной плате,ООО Синема стар,Москва
Code reviewer (Python),https://hh.ru/vacancy/38640656?query=Python,нет сведений о заработной плате, Яндекс,Москва
Разработчик C/Python,https://hh.ru/vacancy/35216674?query=Python,нет сведений о заработной плате,ООО Ростелеком Информационные Технологии,"Москва, Новокузнецкая"
Программист Python,https://hh.ru/vacancy/38827758?query=Python,нет сведений о заработной плате, The Skolkovo Institute of Science and Technology,"Москва, Славянский бульвар"
Python / Django fullstack разработчик,https://hh.ru/vacancy/37797391?query=Python,нет сведений о заработной плате, Кон Цертеза,"Москва, Улица Милашенкова и еще 1 "
