vacancy name,vacancy link,salary,suite_info,city
Python developer,https://hh.ru/vacancy/38897245?query=Python,"{'minimum': 160000, 'maximum': 200000, 'currency': 'руб.'}", IVIDEON,"Москва, Менделеевская"
Python-разработчик,https://hh.ru/vacancy/38278738?query=Python,"{'minimum': 'нет сведений', 'maximum': 140000, 'currency': 'руб.'}","АО Точных Приборов, НИИ","Москва, Ботанический сад и еще 1 "
Python Developer,https://hh.ru/vacancy/38848417?query=Python,"{'minimum': 3000, 'maximum': 4000, 'currency': 'USD'}", HR Development,Москва
Программист,https://hh.ru/vacancy/38879745?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО КИБЕРБОРЕЯ,Москва
Senior Python-разработчик,https://hh.ru/vacancy/39012300?query=Python,нет сведений о заработной плате, ГЛОНАСС МОБАЙЛ,Москва
Python разработчик,https://hh.ru/vacancy/38979914?query=Python,нет сведений о заработной плате, Selecty,Москва
Программист Python,https://hh.ru/vacancy/35870480?query=Python,нет сведений о заработной плате,АО РТИ,"Москва, Динамо"
Python-разработчик,https://hh.ru/vacancy/38801313?query=Python,нет сведений о заработной плате,"ПАО «МТС»,IT","Москва, Комсомольская и еще 2 "
Python разработчик,https://hh.ru/vacancy/38935608?query=Python,нет сведений о заработной плате, Star-staff,Москва
QA Automation Engineer/Python (Центральные логистические системы),https://hh.ru/vacancy/32695277?query=Python,нет сведений о заработной плате, Ozon Информационные технологии,"Москва, Деловой центр и еще 1 "
Наставник онлайн-курса по Python / JavaScript / PHP на Хекслете,https://hh.ru/vacancy/38730078?query=Python,нет сведений о заработной плате, Hexlet,Москва
Программист Python(Django),https://hh.ru/vacancy/38054244?query=Python,нет сведений о заработной плате, Kokoc Group,Москва
Программист Python (Senior),https://hh.ru/vacancy/38576811?query=Python,нет сведений о заработной плате,ООО РАБЛЗ,Москва
Разработчик Python,https://hh.ru/vacancy/38453029?query=Python,нет сведений о заработной плате,ООО ИЦ АЙ-ТЕКО,Москва
Разработчик Python DevTools,https://hh.ru/vacancy/36167370?query=Python,нет сведений о заработной плате, Лаборатория Касперского,Москва
Программист Python,https://hh.ru/vacancy/38727910?query=Python,нет сведений о заработной плате,АО Троник,"Москва, Лобня"
Backend-разработчик (Python/Django),https://hh.ru/vacancy/38977337?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Software Engineer (Computer Vision systems),https://hh.ru/vacancy/38539036?query=Python,нет сведений о заработной плате,ООО Константа,"Москва, Красносельская"
Программист Python,https://hh.ru/vacancy/38157850?query=Python,"{'minimum': 180000, 'maximum': 300000, 'currency': 'руб.'}", HR Development,Москва
Automation QA Engineer (Python),https://hh.ru/vacancy/39045042?query=Python,нет сведений о заработной плате, Spice Agency,Москва
DevOps,https://hh.ru/vacancy/38542346?query=Python,нет сведений о заработной плате, Business & Decision,Москва
Automation QA Engineer (Python),https://hh.ru/vacancy/37445343?query=Python,"{'minimum': 'нет сведений', 'maximum': 170000, 'currency': 'руб.'}", Star-staff,Москва
Инженер по автоматизации тестирования (Python),https://hh.ru/vacancy/38616793?query=Python,нет сведений о заработной плате, Positive Technologies,Москва
Python разработчик,https://hh.ru/vacancy/38923564?query=Python,нет сведений о заработной плате,"ПАО «МТС»,IT",Москва
Разработчик Python,https://hh.ru/vacancy/37545437?query=Python,нет сведений о заработной плате, Тинькофф,"Москва, Водный стадион"
Python-разработчик (MAPS.ME),https://hh.ru/vacancy/36792914?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
Full-stack веб-программист python/javascript,https://hh.ru/vacancy/37566148?query=Python,нет сведений о заработной плате, ФГБУ ЦСП ФМБА России,Москва
Python разработчик,https://hh.ru/vacancy/38728444?query=Python,нет сведений о заработной плате,ООО ВижнЛабс (VisionLabs),Москва
Python разработчик (Django),https://hh.ru/vacancy/38705473?query=Python,"{'minimum': 120000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО Апптимизм,Москва
Data Scientist (ML/CV),https://hh.ru/vacancy/38742848?query=Python,"{'minimum': 180000, 'maximum': 200000, 'currency': 'руб.'}",ООО Искусственный интеллект,Москва
Web-разработчик fullstack (python+javascript),https://hh.ru/vacancy/38602747?query=Python,"{'minimum': 50000, 'maximum': 80000, 'currency': 'руб.'}",ООО Научно-технический центр СтарКо,Москва
Senior python разработчик,https://hh.ru/vacancy/36493185?query=Python,нет сведений о заработной плате,ООО Инконсалт,Москва
Разработчик Python (RuBackup),https://hh.ru/vacancy/38826401?query=Python,нет сведений о заработной плате," Русские базовые информационные технологии, Научно-производственное объединение","Москва, Верхние Котлы и еще 1 "
QA Automation Python,https://hh.ru/vacancy/34596119?query=Python,нет сведений о заработной плате, X5 RETAIL GROUP,"Москва, Парк культуры"
Ведущий Python-разработчик,https://hh.ru/vacancy/38921844?query=Python,нет сведений о заработной плате,ООО НТехЛаб,"Москва, Белорусская и еще 2 "
Python разработчик в myTarget,https://hh.ru/vacancy/38323541?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
DevOps / Python инженер,https://hh.ru/vacancy/38937401?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Разработчик Python,https://hh.ru/vacancy/38063535?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Python Developer (Django+JS),https://hh.ru/vacancy/38993329?query=Python,нет сведений о заработной плате, Vivid Money,"Москва, Динамо"
Python (Full-stack) разработчик,https://hh.ru/vacancy/38646404?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}",ООО Айтенд,"Москва, Авиамоторная"
QA Automation Engineer (Python),https://hh.ru/vacancy/38946858?query=Python,нет сведений о заработной плате, WakeApp,"Москва, Бауманская"
Back-end Python/Django разработчик,https://hh.ru/vacancy/38629821?query=Python,"{'minimum': 130000, 'maximum': 200000, 'currency': 'руб.'}",ООО Mind&Machine,"Москва, Бауманская"
Python Developer,https://hh.ru/vacancy/38672884?query=Python,"{'minimum': 2000, 'maximum': 4000, 'currency': 'USD'}", MaxinAI,Москва
Разработчик (Python),https://hh.ru/vacancy/38901120?query=Python,нет сведений о заработной плате, Центральный банк Российской Федерации,Москва
Специалист по автоматизированному тестированию (Python),https://hh.ru/vacancy/38433553?query=Python,нет сведений о заработной плате,ООО Hawk House Integration,Москва
